"FacilityID"	"FacilityName"	"FacLong"	"FacLat"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Measured_Effluent"	"Units"	"Permitted_Limit"	"MP_Begin_Date"	"MP_End_Date"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2894.4	"MGD"	NA	"07/01/2014"	"07/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2880	"MGD"	NA	"08/01/2014"	"08/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2880	"MGD"	NA	"05/01/2016"	"05/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2878.1	"MGD"	NA	"08/01/2016"	"08/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2871.4	"MGD"	NA	"09/01/2015"	"09/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2854.8	"MGD"	NA	"08/01/2013"	"08/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2851.2	"MGD"	NA	"11/01/2016"	"11/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2848.3	"MGD"	NA	"05/01/2012"	"05/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2829.6	"MGD"	NA	"10/01/2015"	"10/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2790	"MGD"	NA	"05/01/2011"	"05/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2772	"MGD"	NA	"11/01/2013"	"11/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2764.8	"MGD"	NA	"05/01/2017"	"05/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2732.4	"MGD"	NA	"11/01/2015"	"11/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2718	"MGD"	NA	"05/01/2015"	"05/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2577.6	"MGD"	NA	"04/01/2017"	"04/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2548.8	"MGD"	NA	"10/01/2017"	"10/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2547.2	"MGD"	NA	"07/01/2012"	"07/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2545.2	"MGD"	NA	"08/01/2012"	"08/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2534.4	"MGD"	NA	"10/01/2013"	"10/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2523.6	"MGD"	NA	"10/01/2016"	"10/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2518.5	"MGD"	NA	"06/01/2012"	"06/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2508.6	"MGD"	NA	"07/01/2011"	"07/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2508.5	"MGD"	NA	"05/01/2013"	"05/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2502	"MGD"	NA	"11/01/2012"	"11/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2494.8	"MGD"	NA	"06/01/2011"	"06/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2469.6	"MGD"	NA	"11/01/2014"	"11/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2427.8	"MGD"	NA	"03/01/2017"	"03/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2422	"MGD"	NA	"07/01/2013"	"07/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2412.1	"MGD"	NA	"08/01/2013"	"08/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2391.2	"MGD"	NA	"09/01/2012"	"09/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2390.4	"MGD"	NA	"12/01/2015"	"12/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2384.6	"MGD"	NA	"04/01/2014"	"04/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2364	"MGD"	NA	"06/01/2013"	"06/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2361.6	"MGD"	NA	"11/01/2011"	"11/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2355.6	"MGD"	NA	"07/01/2017"	"07/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2347.7	"MGD"	NA	"05/01/2012"	"05/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2345.1	"MGD"	NA	"08/01/2017"	"08/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2344.2	"MGD"	NA	"07/01/2015"	"07/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2341.7	"MGD"	NA	"07/01/2014"	"07/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2341.5	"MGD"	NA	"09/01/2015"	"09/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2337.4	"MGD"	NA	"06/01/2017"	"06/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2333	"MGD"	NA	"06/01/2014"	"06/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2332.7	"MGD"	NA	"08/01/2014"	"08/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2321.9	"MGD"	NA	"08/01/2015"	"08/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2315.5	"MGD"	NA	"05/01/2011"	"05/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2309.3	"MGD"	NA	"05/01/2018"	"05/31/2018"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2306.9	"MGD"	NA	"10/01/2014"	"10/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2304.8	"MGD"	NA	"06/01/2015"	"06/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2304	"MGD"	NA	"12/01/2017"	"12/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2281.2	"MGD"	NA	"07/01/2016"	"07/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2264.4	"MGD"	NA	"04/01/2018"	"04/30/2018"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2245.1	"MGD"	NA	"06/01/2016"	"06/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2244.2	"MGD"	NA	"08/01/2016"	"08/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2232.4	"MGD"	NA	"10/01/2015"	"10/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2227.5	"MGD"	NA	"05/01/2015"	"05/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2220.6	"MGD"	NA	"05/01/2016"	"05/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2218.8	"MGD"	NA	"05/01/2017"	"05/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2199.3	"MGD"	NA	"09/01/2016"	"09/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2109.6	"MGD"	NA	"04/01/2011"	"04/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2108	"MGD"	NA	"11/01/2017"	"11/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2103.1	"MGD"	NA	"11/01/2016"	"11/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2089.3	"MGD"	NA	"10/01/2017"	"10/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2088	"MGD"	NA	"09/01/2017"	"09/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2082.2	"MGD"	NA	"04/01/2015"	"04/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2059.2	"MGD"	NA	"09/01/2013"	"09/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2037.6	"MGD"	NA	"12/01/2011"	"12/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2037.6	"MGD"	NA	"03/01/2013"	"03/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2030.8	"MGD"	NA	"11/01/2015"	"11/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	2027.5	"MGD"	NA	"04/01/2017"	"04/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2013.1	"MGD"	NA	"03/01/2011"	"03/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2012.4	"MGD"	NA	"01/01/2011"	"01/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1980	"MGD"	NA	"04/01/2012"	"04/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1976.4	"MGD"	NA	"02/01/2012"	"02/29/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1976.4	"MGD"	NA	"02/01/2011"	"02/28/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1972.8	"MGD"	NA	"09/01/2014"	"09/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1957.7	"MGD"	NA	"10/01/2012"	"10/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1954.8	"MGD"	NA	"10/01/2011"	"10/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1949.9	"MGD"	NA	"11/01/2013"	"11/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1944	"MGD"	NA	"04/01/2016"	"04/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1927.2	"MGD"	NA	"08/01/2011"	"08/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1926.7	"MGD"	NA	"12/01/2013"	"12/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1915.2	"MGD"	NA	"02/01/2013"	"02/28/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1915.2	"MGD"	NA	"01/01/2012"	"01/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1915.2	"MGD"	NA	"12/01/2012"	"12/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1892.7	"MGD"	NA	"10/01/2013"	"10/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1888.3	"MGD"	NA	"11/01/2011"	"11/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1882.8	"MGD"	NA	"02/01/2018"	"02/28/2018"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1868.4	"MGD"	NA	"02/01/2015"	"02/28/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1848.7	"MGD"	NA	"03/01/2017"	"03/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1821.6	"MGD"	NA	"12/01/2016"	"12/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1821.6	"MGD"	NA	"02/01/2017"	"02/28/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1821.6	"MGD"	NA	"01/01/2013"	"01/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1821.6	"MGD"	NA	"02/01/2016"	"02/29/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451101"	-77.78419444426	38.0516111113546	0	1816.1	"MGD"	NA	"10/01/2014"	"10/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1802.9	"MGD"	NA	"01/01/2018"	"01/31/2018"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	1802.9	"MGD"	NA	"01/01/2015"	"01/31/2015"	"VPDES_flag_desflow"
"VA0091995"	"RESTON LAKE ANNE AIR CONDITIONING CORPORATION"	-77.34324	38.96818	"VA0091995001"	-77.3374999997773	38.9650000002033	0	1800	"MGD"	NA	"07/01/2017"	"09/30/2017"	"VPDES_flag_desflow"
