"hydrocode"	"varkey"	"varcode"	"vardesc"	"propname"	"propvalue"	"proptext"	"propcode"
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_DC0022004001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_DC0022004001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_DC0022004001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004162001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370003"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_DC0022004001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0032000001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0092711004"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0000370002"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
